draftRound,draftPick,playerName,position,age,height,weight,collegeAttended,rushingAttempts,rushingYards,avgYardsPerRush,rushingTouchdowns,receptions,receivingYards,avgYardsPerReception,receivingTouchdowns,passCompletions,passAttempts,passCompletionPercentage,passingYards,avgYardsPerPass,passingTouchdowns,passingInterceptions,fortyYardDash,verticalJump,benchPress,broadJump,threeCone,shuttle
5,157,James Whalen,TE,22,188.0,244,Kentucky,,,,,120,1324,11.0,13,,,,,,,,4.78,31.0,,110,7.42,4.22
5,158,Austin Wheatley,TE,22,190.0,254,Iowa,,,,,25,348,13.9,1,,,,,,,,4.66,32.5,,121,6.97,4.18
5,163,Tee Martin,QB,22,188.0,225,Tennessee,,,,,,,,,326,588,55.4,4592,7.8,32,16,4.58,34.5,,113,,
5,164,Jay Tant,TE,22,190.0,254,Northwestern,,,,,59,645,10.9,2,,,,,,,,4.75,,31,,,
5,165,Troy Walters,WR,23,170.0,172,Stanford,6,5,0.8,0,244,3986,16.3,26,,,,,,,,4.55,32.5,,106,6.61,3.84
5,166,Chad Morton,RB,23,173.0,203,USC,517,2511,4.9,24,38,256,6.7,1,,,,,,,,4.50,36.0,18,121,,
6,168,Marc Bulger,QB,23,190.0,215,West Virginia,,,,,,,,,630,1023,61.6,8153,8.0,59,34,4.97,,,100,7.46,4.34
6,175,James Williams,WR,22,178.0,186,Marshall,2,-12,-6.0,0,73,1471,20.2,17,,,,,,,,4.59,36.0,,123,7.22,4.16
6,183,Spergon Wynn,QB,22,190.0,226,Texas St.,3,8,2.7,0,,,,,,,,,,,,4.91,34.0,,108,7.71,4.59
6,199,Tom Brady,QB,23,193.0,225,Michigan,,,,,,,,,395,638,61.9,4773,7.5,30,17,5.28,24.5,,99,7.20,4.38
6,202,Todd Husak,QB,22,190.0,216,Stanford,,,,,,,,,465,872,53.3,6564,7.5,41,24,5.20,27.5,,99,7.17,4.41
7,212,Tim Rattay,QB,23,183.0,200,Louisiana Tech,,,,,,,,,1015,1552,65.4,12746,8.2,115,35,4.91,25.5,,100,7.34,4.21
7,213,Mike Green,RB,24,183.0,249,Houston,243,1273,5.2,11,9,114,12.7,0,,,,,,,,4.78,28.5,25,108,7.08,4.34
7,214,Jarious Jackson,QB,23,183.0,228,Notre Dame,,,,,,,,,306,536,57.1,4820,9.0,34,21,4.68,,,109,,
7,227,Mondriel Fulcher,TE,23,190.0,250,Miami (FL),4,10,2.5,0,47,656,14.0,4,,,,,,,,4.85,27.0,18,116,7.46,4.52
7,234,Joe Hamilton,QB,23,178.0,190,Georgia Tech,,,,,,,,,629,1020,61.7,8882,8.7,65,39,4.81,,,106,,
7,242,Charles Lee,WR,22,190.0,227,Central Florida,1,2,2.0,0,162,2249,13.9,14,,,,,,,,4.56,35.5,,125,7.30,4.25
7,243,Shyrone Stith,RB,22,173.0,206,Virginia Tech,459,2360,5.1,21,13,116,8.9,0,,,,,,,,4.60,35.0,13,111,7.14,4.14
7,252,Rondell Mealey,RB,23,183.0,224,LSU,453,2238,4.9,29,33,302,9.2,4,,,,,,,,4.69,33.0,,120,6.89,4.15
1,1,Michael Vick,QB,21,183.0,215,Virginia Tech,,,,,,,,,192,343,56.0,3299,9.6,21,11,4.33,,,,,
1,5,,RB,22,178.0,221,TCU,943,5387,5.7,56,43,267,6.2,0,,,,,,,,4.46,40.5,18,124,6.84,4.21
1,8,David Terrell,WR,22,190.0,215,Michigan,8,108,13.5,1,137,2005,14.6,19,,,,,,,,4.43,,,,,
1,9,Koren Robinson,WR,21,185.0,205,North Carolina St.,28,110,3.9,0,110,1914,17.4,15,,,,,,,,4.61,,,,,
1,15,Rod Gardner,WR,23,188.0,213,Clemson,5,0,0.0,0,159,2404,15.1,12,,,,,,,,4.48,,,,,
1,16,Santana Moss,WR,22,178.0,185,Miami (FL),12,277,23.1,3,143,2547,17.8,19,,,,,,,,4.31,,,,,
1,23,Deuce McAllister,RB,22,185.0,232,Mississippi,633,3181,5.0,38,66,671,10.2,3,,,,,,,,4.41,,,,,
1,25,Freddie Mitchell,WR,22,180.0,184,UCLA,9,67,7.4,0,110,1955,17.8,9,,,,,,,,4.46,39.5,,120,6.95,4.06
1,27,Michael Bennett,RB,23,175.0,211,Wisconsin,367,1979,5.4,15,5,52,10.4,0,,,,,,,,4.38,39.5,13,130,,
1,30,Reggie Wayne,WR,22,183.0,198,Miami (FL),2,15,7.5,0,173,2510,14.5,20,,,,,,,,4.45,,,,,
1,31,Todd Heap,TE,21,196.0,252,Arizona St.,1,2,2.0,0,115,1685,14.7,10,,,,,,,,4.68,,,,,
2,32,Drew Brees,QB,22,183.0,209,Purdue,,,,,,,,,1026,1678,61.1,11792,7.0,90,45,4.83,32.0,,105,7.09,4.21
2,33,Quincy Morgan,WR,23,185.0,210,Kansas St.,3,11,3.7,0,106,2173,20.5,23,,,,,,,,4.48,,,,,
2,35,Alge Crumpler,TE,23,188.0,262,North Carolina,0,0,,1,68,760,11.2,5,,,,,,,,4.76,34.0,22,112,7.38,4.43
2,36,Chad Johnson,WR,23,185.0,192,Oregon St.,2,-5,-2.5,0,37,806,21.8,8,,,,,,,,4.57,33.0,,108,7.51,4.14
2,38,Anthony Thomas,RB,23,188.0,228,Michigan,846,4098,4.8,49,78,750,9.6,1,,,,,,,,4.58,32.5,20,115,7.48,4.44
2,40,Ken Lucas,DB,22,183.0,205,Mississippi,3,78,26.0,0,21,248,11.8,0,,,,,,,,4.45,,,,,
2,41,Robert Ferguson,WR,21,185.0,209,Texas A&M,,,,,58,885,15.3,6,,,,,,,,4.48,36.5,,120,7.24,4.07
2,48,Matt Light,T,23,193.0,305,Purdue,,,,,1,16,16.0,0,,,,,,,,5.29,,26,,7.84,4.49
2,49,LaMont Jordan,RB,22,178.0,230,Maryland,807,4147,5.1,36,76,737,9.7,1,,,,,,,,4.57,,24,,,
2,52,Chris Chambers,WR,23,180.0,210,Wisconsin,2,17,8.5,0,127,2004,15.8,16,,,,,,,,4.33,45.0,,134,,4.00
2,53,Quincy Carter,QB,23,188.0,213,Georgia,,,,,,,,,483,853,56.6,6447,7.6,35,25,4.58,35.5,,113,7.12,4.12
2,58,Travis Henry,RB,22,175.0,215,Tennessee,556,3078,5.5,26,20,99,5.0,0,,,,,,,,4.61,,23,,,
2,59,Marques Tuiasosopo,QB,22,185.0,220,Washington,,,,,,,,,418,761,54.9,5501,7.2,31,28,4.71,35.5,,115,7.36,4.35
3,65,James Jackson,RB,25,178.0,215,Miami (FL),541,2950,5.5,31,38,278,7.3,3,,,,,,,,4.55,,,,,
