draftRound,draftPick,playerName,position,age,height,weight,collegeAttended,rushingAttempts,rushingYards,avgYardsPerRush,rushingTouchdowns,receptions,receivingYards,avgYardsPerReception,receivingTouchdowns,passCompletions,passAttempts,passCompletionPercentage,passingYards,avgYardsPerPass,passingTouchdowns,passingInterceptions,fortyYardDash,verticalJump,benchPress,broadJump,threeCone,shuttle
6,207,Chester Taylor,RB,22,180.0,213,Toledo,803,4646,5.8,55,61,554,9.1,5,,,,,,,,4.58,33.0,22,114,,
7,222,Kendall Newson,WR,22,185.0,197,Middle Tenn. St.,9,76,8.4,0,208,2659,12.8,17,,,,,,,,4.69,33.5,,117,6.87,4.27
7,223,Mike Banks,TE,22,193.0,262,Iowa St.,,,,,59,584,9.9,0,,,,,,,,4.84,31.5,,104,,
7,226,Daryl Jones,WR,23,175.0,190,Miami (FL),2,-8,-4.0,0,59,819,13.9,5,,,,,,,,4.35,,,,,
7,235,Ronald Curry,WR,23,188.0,220,North Carolina,,,,,,,,,345,695,49.6,4987,7.2,28,35,4.59,35.0,,115,7.06,4.11
7,240,Carlos Hall,DE,23,193.0,261,Arkansas,0,0,,0,4,25,6.3,0,,,,,,,,4.67,40.0,20,129,6.97,4.19
7,241,Leonard Henry,RB,24,185.0,210,East Carolina,519,3089,6.0,29,54,429,7.9,3,,,,,,,,4.57,35.0,26,113,7.11,4.29
7,253,David Givens,WR,22,183.0,212,Notre Dame,41,146,3.6,4,72,814,11.3,3,,,,,,,,4.56,40.5,,126,6.82,4.13
7,257,Rock Cartwright,FB,22,170.0,223,Kansas St.,112,570,5.1,7,20,186,9.3,0,,,,,,,,4.47,35.0,30,116,7.18,4.25
1,1,Carson Palmer,QB,23,196.0,235,USC,,,,,,,,,927,1569,59.1,11818,7.5,72,49,4.65,,,,,
1,2,Charles Rogers,WR,22,190.0,202,Michigan St.,10,110,11.0,1,135,2821,20.9,27,,,,,,,,4.40,,,,,
1,3,Andre Johnson,WR,22,190.0,219,Miami (FL),2,11,5.5,0,92,1831,19.9,20,,,,,,,,4.41,39.0,,132,,
1,7,Byron Leftwich,QB,23,196.0,245,Marshall,,,,,,,,,939,1442,65.1,11903,8.3,89,28,4.85,,,,,
1,8,Jordan Gross,T,23,193.0,300,Utah,,,,,2,14,7.0,0,,,,,,,,5.05,31.5,28,112,7.69,4.39
1,17,Bryant Johnson,WR,22,188.0,214,Penn St.,4,5,1.3,0,110,2008,18.3,10,,,,,,,,4.57,,,,,
1,19,Kyle Boller,QB,22,190.0,220,California,,,,,,,,,622,1301,47.8,7980,6.1,64,48,4.61,35.5,,117,7.20,4.02
1,22,Rex Grossman,QB,23,185.0,222,Florida,,,,,,,,,677,1110,61.0,9164,8.3,77,36,5.06,,,,,
1,23,Willis McGahee,RB,21,183.0,228,Miami (FL),349,2067,5.9,31,28,348,12.4,0,,,,,,,,4.45,,,,,
1,24,Dallas Clark,TE,24,190.0,257,Iowa,,,,,81,1281,15.8,8,,,,,,,,4.65,37.5,,123,,
1,27,Larry Johnson,RB,23,185.0,228,Penn St.,460,2953,6.4,26,65,681,10.5,7,,,,,,,,4.45,,19,,,
1,28,Andre Woolfolk,DB,23,188.0,197,Oklahoma,1,11,11.0,0,59,877,14.9,6,,,,,,,,4.47,35.5,10,128,6.78,3.96
2,41,Bennie Joppru,TE,23,193.0,234,Michigan,,,,,79,731,9.3,8,,,,,,,,4.78,30.5,19,109,,
2,44,Taylor Jacobs,WR,22,183.0,198,Florida,10,81,8.1,1,133,2097,15.8,16,,,,,,,,4.42,,,,,
2,45,Bethel Johnson,WR,24,180.0,200,Texas A&M,8,55,6.9,1,117,1740,14.9,11,,,,,,,,4.38,38.5,,127,,
2,54,Anquan Boldin,WR,22,185.0,218,Florida St.,26,127,4.9,1,118,1790,15.2,21,,,,,,,,4.72,33.5,,114,7.35,4.33
2,60,Tyrone Calico,WR,22,193.0,223,Middle Tenn. St.,14,55,3.9,1,194,2636,13.6,17,,,,,,,,4.34,38.0,,127,6.73,4.26
2,61,L.J. Smith,TE,23,190.0,258,Rutgers,17,76,4.5,0,122,1458,12.0,10,,,,,,,,4.62,37.0,26,122,6.74,4.25
2,63,Teyo Johnson,TE,21,196.0,260,Stanford,1,-2,-2.0,0,79,1032,13.1,15,,,,,,,,4.61,33.5,,,,
3,65,Kelley Washington,WR,24,190.0,218,Tennessee,1,10,10.0,0,87,1453,16.7,6,,,,,,,,4.42,,,,,
3,68,Lance Briggs,LB,22,185.0,238,Arizona,25,163,6.5,2,1,12,12.0,0,,,,,,,,4.75,33.0,25,113,,
3,69,Jason Witten,TE,21,198.0,263,Tennessee,,,,,68,797,11.7,7,,,,,,,,4.65,31.0,25,,,
3,71,Nate Burleson,WR,22,183.0,192,Nevada,27,190,7.0,1,248,3287,13.3,22,,,,,,,,4.51,42.5,,126,6.96,4.16
3,74,Kevin Curtis,WR,25,180.0,186,Utah St.,9,46,5.1,1,174,2789,16.0,19,,,,,,,,4.42,36.0,,122,6.76,3.99
3,76,Mike Seidman,TE,22,193.0,261,UCLA,,,,,59,956,16.2,7,,,,,,,,4.80,,20,,,
3,77,Musa Smith,RB,21,183.0,232,Georgia,454,2202,4.9,19,27,187,6.9,0,,,,,,,,4.45,35.5,,123,,
3,78,Wade Smith,T,22,193.0,300,Memphis,,,,,6,31,5.2,0,,,,,,,,5.14,32.5,24,114,7.62,4.75
3,85,B.J. Askew,FB,23,190.0,233,Michigan,334,1509,4.5,17,78,728,9.3,4,,,,,,,,4.60,,,,,
3,88,Dave Ragone,QB,23,190.0,245,Louisville,,,,,,,,,685,1180,58.1,8564,7.3,74,29,4.99,30.5,,101,7.42,4.36
3,93,Chris Brown,RB,22,190.0,219,Colorado,493,2787,5.7,35,11,76,6.9,0,,,,,,,,4.46,,,,,
3,95,Billy McMullen,WR,23,193.0,210,Virginia,7,37,5.3,1,210,2978,14.2,24,,,,,,,,4.61,,,,,
3,96,Justin Fargas,FB,23,185.0,220,USC,256,1077,4.2,8,9,106,11.8,0,,,,,,,,4.35,,27,137,,
3,97,Chris Simms,QB,23,193.0,220,Texas,,,,,,,,,535,911,58.7,7097,7.8,58,31,4.84,31.0,,103,7.38,4.21
4,99,Artose Pinner,RB,25,178.0,232,Kentucky,438,2105,4.8,17,58,407,7.0,2,,,,,,,,4.68,,,,,
4,101,Domanick Williams,RB,22,175.0,216,LSU,455,2056,4.5,20,41,393,9.6,1,,,,,,,,4.63,32.5,22,112,7.32,4.47
4,104,George Wrighster,TE,22,190.0,260,Oregon,1,1,1.0,1,53,694,13.1,7,,,,,,,,4.89,34.5,16,115,7.24,
4,105,Onterrio Smith,RB,22,178.0,214,Oregon,450,2388,5.3,23,26,174,6.7,3,,,,,,,,4.48,,19,,,
4,106,Shaun McDonald,WR,22,178.0,183,Arizona St.,14,63,4.5,1,156,2867,18.4,24,,,,,,,,4.43,,,,,
4,108,Quentin Griffin,RB,22,170.0,195,Oklahoma,713,3796,5.3,44,152,1240,8.2,6,,,,,,,,4.48,38.0,21,123,,4.08
4,110,Seneca Wallace,QB,23,180.0,196,Iowa St.,,,,,,,,,411,712,57.7,5289,7.4,26,27,4.56,38.0,,127,6.98,4.14
4,115,Lee Suggs,RB,23,183.0,205,Virginia Tech,535,2767,5.2,53,15,171,11.4,3,,,,,,,,4.44,,,,,
4,118,Jeremi Johnson,FB,23,180.0,265,Western Kentucky,184,931,5.1,11,37,386,10.4,2,,,,,,,,4.90,29.0,20,103,,
4,121,Justin Griffith,FB,23,180.0,232,Mississippi St.,213,852,4.0,10,85,937,11.0,4,,,,,,,,4.59,32.0,29,113,7.73,4.68
4,122,Steve Sciullo,G,23,196.0,330,Marshall,,,,,1,10,10.0,0,,,,,,,,5.48,28.0,23,98,7.85,4.72
4,124,Brandon Lloyd,WR,22,183.0,192,Illinois,12,55,4.6,0,155,2527,16.3,19,,,,,,,,4.62,36.0,,,,
4,127,Sam Aiken,WR,22,188.0,204,North Carolina,7,33,4.7,0,146,2195,15.0,15,,,,,,,,4.59,39.5,,121,7.22,
4,132,LaBrandon Toefield,RB,22,180.0,232,LSU,511,2149,4.2,26,25,233,9.3,1,,,,,,,,4.60,,19,,,
4,134,Ovie Mughelli,FB,23,185.0,260,Wake Forest,137,530,3.9,13,18,164,9.1,0,,,,,,,,4.73,31.5,,114,7.78,4.32
5,139,Bobby Wade,WR,22,178.0,193,Arizona,12,53,4.4,0,230,3351,14.6,23,,,,,,,,4.66,34.5,,115,7.01,4.11
5,143,Justin Gage,WR,22,193.0,208,Missouri,28,6,0.2,0,200,2704,13.5,18,,,,,,,,4.45,,,,,
5,153,Jordan Black,T,23,196.0,314,Notre Dame,,,,,1,-1,-1.0,0,,,,,,,,5.18,30.0,,106,7.65,4.50
5,156,Donald Lee,TE,23,190.0,255,Mississippi St.,1,-7,-7.0,0,61,611,10.0,3,,,,,,,,4.82,39.0,26,120,7.42,4.42
5,158,Adrian Madise,WR,23,180.0,215,TCU,,,,,82,1343,16.4,7,,,,,,,,4.49,32.0,,119,7.32,4.26
5,161,Aaron Walker,TE,23,198.0,252,Florida,,,,,56,716,12.8,9,,,,,,,,4.72,33.5,24,115,7.57,4.30
5,165,Chris Davis,FB,23,180.0,235,Syracuse,73,230,3.2,7,9,53,5.9,0,,,,,,,,4.56,38.5,21,116,7.25,4.37
5,167,Doug Gabriel,WR,23,188.0,215,Central Florida,7,52,7.4,1,97,1869,19.3,20,,,,,,,,4.52,35.5,,116,7.05,4.16
6,196,LaTarence Dunbar,WR,23,180.0,196,TCU,41,235,5.7,3,111,1560,14.1,13,,,,,,,,4.52,34.0,,122,7.41,4.35
6,197,Arnaz Battle,WR,23,185.0,217,Notre Dame,,,,,,,,,30,69,43.5,438,6.3,2,5,4.58,35.0,,117,6.74,4.06
6,201,Kliff Kingsbury,QB,24,193.0,231,Texas Tech,,,,,,,,,1231,1883,65.4,12429,6.6,95,40,4.77,30.0,,101,6.92,4.10
7,218,Malaefou MacKenzie,FB,24,178.0,238,USC,216,939,4.3,8,76,676,8.9,7,,,,,,,,4.67,,,,,
7,221,Keenan Howry,WR,22,178.0,172,Oregon,13,150,11.5,1,173,2698,15.6,24,,,,,,,,4.56,31.5,,114,7.34,4.28
7,223,Trent Smith,TE,23,196.0,245,Oklahoma,,,,,156,1458,9.3,16,,,,,,,,4.79,35.5,16,118,7.23,4.37
7,226,Walter Young,WR,23,196.0,214,Illinois,2,-12,-6.0,0,141,2204,15.6,13,,,,,,,,4.54,39.0,,121,6.90,4.25
7,229,Andrew Pinnock,FB,23,178.0,260,South Carolina,422,1852,4.4,27,28,185,6.6,0,,,,,,,,4.62,,22,,,
7,231,Talman Gardner,WR,23,185.0,205,Florida St.,7,39,5.6,0,90,1595,17.7,19,,,,,,,,4.44,34.5,,116,7.54,4.43
7,234,Spencer Nead,FB,25,193.0,259,BYU,,,,,62,715,11.5,6,,,,,,,,4.86,28.5,19,102,7.37,4.34
7,241,Ken Dorsey,QB,22,193.0,218,Miami (FL),,,,,,,,,668,1153,57.9,9565,8.3,86,28,4.70,,,,,
7,249,Wayne Lucier,G,23,190.0,300,Colorado,,,,,1,4,4.0,0,,,,,,,,5.28,,,,,
1,1,Eli Manning,QB,23,196.0,220,Mississippi,,,,,,,,,829,1363,60.8,10119,7.4,81,35,4.90,,,,,
1,2,Robert Gallery,T,24,201.0,325,Iowa,,,,,3,32,10.7,0,,,,,,,,4.98,30.0,24,105,7.42,4.38
1,3,Larry Fitzgerald,WR,21,190.0,218,Pittsburgh,1,7,7.0,0,161,2677,16.6,34,,,,,,,,4.48,,,,,
1,4,Philip Rivers,QB,22,196.0,228,North Carolina St.,,,,,,,,,1087,1710,63.6,13484,7.9,95,34,5.08,,,,,
1,6,Kellen Winslow,TE,21,193.0,254,Miami (FL),,,,,119,1365,11.5,9,,,,,,,,4.55,,24,120,,
1,7,Roy Williams,WR,22,193.0,210,Texas,16,243,15.2,3,241,3866,16.0,36,,,,,,,,4.48,,,,,
1,9,Reggie Williams,WR,21,193.0,225,Washington,3,11,3.7,0,238,3536,14.9,22,,,,,,,,4.56,,,,,
1,11,Ben Roethlisberger,QB,22,196.0,240,Miami (OH),,,,,,,,,854,1304,65.5,10829,8.3,84,34,4.75,,,,,
1,13,Lee Evans,WR,23,178.0,202,Wisconsin,4,26,6.5,0,175,3468,19.8,27,,,,,,,,4.39,34.5,,120,,
1,15,Michael Clayton,WR,21,193.0,197,LSU,6,63,10.5,1,182,2582,14.2,21,,,,,,,,4.67,32.5,,116,6.77,4.09
1,16,Shawn Andrews,G,21,193.0,340,Arkansas,3,3,1.0,2,,,,,,,,,,,,5.49,25.0,27,98,8.25,4.85
1,17,D.J. Williams,LB,22,188.0,247,Miami (FL),18,142,7.9,2,12,143,11.9,1,,,,,,,,4.55,,,,,
1,22,J.P. Losman,QB,23,190.0,220,Tulane,,,,,,,,,570,987,57.8,6754,6.8,60,27,4.73,33.0,,116,,
1,24,Steven Jackson,RB,21,190.0,229,Oregon St.,743,3625,4.9,39,66,680,10.3,6,,,,,,,,4.55,,,,,
1,26,Chris Perry,RB,22,183.0,224,Michigan,794,3657,4.6,39,64,569,8.9,2,,,,,,,,4.56,,19,,,
1,27,Jason Babin,LB,24,193.0,265,West. Michigan,,,,,3,35,11.7,0,,,,,,,,4.62,34.0,28,121,7.03,4.14
1,29,Michael Jenkins,WR,22,193.0,217,Ohio St.,,,,,157,2746,17.5,16,,,,,,,,4.40,,,,,
1,30,Kevin Jones,RB,22,183.0,228,Virginia Tech,616,3475,5.6,35,24,229,9.5,0,,,,,,,,4.38,38.0,,120,,
1,31,Rashaun Woods,WR,23,188.0,202,Oklahoma St.,,,,,293,4414,15.1,42,,,,,,,,4.47,39.0,,125,6.93,3.97
1,32,Ben Watson,TE,23,190.0,251,Georgia,,,,,73,945,12.9,7,,,,,,,,4.50,35.5,34,123,7.38,4.11
2,40,Ben Troupe,TE,22,193.0,262,Florida,,,,,64,958,15.0,7,,,,,,,,4.65,,,,,
2,41,Tatum Bell,RB,23,180.0,190,Oklahoma St.,634,3409,5.4,34,36,258,7.2,2,,,,,,,,4.37,38.5,25,117,,
2,43,Julius Jones,RB,23,178.0,210,Notre Dame,634,3018,4.8,26,28,250,8.9,1,,,,,,,,4.47,37.5,,121,6.97,4.12
2,50,Devery Henderson,WR,22,180.0,200,LSU,83,433,5.2,3,81,1335,16.5,19,,,,,,,,4.41,,,,,
2,52,Jacob Rogers,T,23,198.0,305,USC,2,2,1.0,0,,,,,,,,,,,,5.30,,30,,,
2,54,Darius Watts,WR,22,188.0,190,Marshall,21,188,9.0,0,272,4031,14.8,47,,,,,,,,4.50,,,,,
2,55,Greg Jones,RB,23,185.0,248,Florida St.,480,2535,5.3,23,24,153,6.4,0,,,,,,,,4.55,,,,,
2,61,Kris Wilson,TE,23,190.0,250,Pittsburgh,,,,,88,1431,16.3,15,,,,,,,,4.62,35.0,24,119,6.88,4.10
2,62,Keary Colbert,WR,22,185.0,200,USC,6,74,12.3,1,207,2964,14.3,19,,,,,,,,4.60,30.0,,,,
3,68,Ben Hartsock,TE,24,193.0,264,Ohio St.,,,,,57,515,9.0,5,,,,,,,,4.80,35.0,23,117,7.10,3.98
3,75,Max Starks,T,22,201.0,337,Florida,1,4,4.0,0,0,0,,0,,,,,,,,5.56,27.5,21,98,7.88,4.65
3,77,Derrick Hamilton,WR,22,193.0,200,Clemson,42,340,8.1,2,163,2218,13.6,15,,,,,,,,4.54,,,,,
3,78,Bernard Berrian,WR,23,185.0,190,Fresno St.,21,264,12.6,2,191,2682,14.0,23,,,,,,,,4.58,38.0,,128,7.34,4.18
3,81,Chris Cooley,TE,22,190.0,252,Utah St.,3,21,7.0,1,96,1255,13.1,11,,,,,,,,4.87,33.0,22,115,7.21,4.19
3,82,Devard Darling,WR,22,185.0,213,Washington St.,5,45,9.0,1,106,1666,15.7,19,,,,,,,,4.52,37.0,,129,,
3,84,Sean Locklear,T,23,193.0,301,North Carolina St.,1,5,5.0,0,,,,,,,,,,,,5.16,29.0,27,100,7.85,4.56
3,90,Matt Schaub,QB,23,198.0,245,Virginia,,,,,,,,,716,1069,67.0,7502,7.0,56,26,5.04,30.5,,110,7.65,4.62
4,98,Shaun Phillips,DE,23,190.0,260,Purdue,,,,,2,5,2.5,2,,,,,,,,4.78,33.0,,114,6.95,4.23
4,99,Carlos Francis,WR,23,178.0,190,Texas Tech,15,89,5.9,1,216,3031,14.0,21,,,,,,,,4.33,38.5,,114,6.97,4.06
4,105,Samie Parker,WR,23,180.0,190,Oregon,10,67,6.7,0,178,2761,15.5,19,,,,,,,,4.39,36.0,,,,
4,106,Luke McCown,QB,23,190.0,208,Louisiana Tech,,,,,,,,,1063,1775,59.9,12666,7.1,87,62,4.71,37.5,,125,6.74,4.21
4,108,Jerricho Cotchery,WR,22,185.0,200,North Carolina St.,18,102,5.7,1,200,3119,15.6,21,,,,,,,,4.54,36.0,,121,6.93,3.91
4,109,Tim Euhus,TE,23,196.0,247,Oregon St.,,,,,98,1346,13.7,9,,,,,,,,4.93,34.5,25,115,6.99,4.13
4,119,Mewelde Moore,RB,22,180.0,210,Tulane,909,4364,4.8,21,189,2059,10.9,15,,,,,,,,4.65,35.0,,118,7.05,4.12
4,120,Ernest Wilford,WR,25,193.0,218,Virginia Tech,,,,,126,2052,16.3,11,,,,,,,,4.79,40.5,,130,,4.17
4,121,Bruce Thornton,DB,24,180.0,195,Georgia,47,230,4.9,3,4,13,3.3,0,,,,,,,,4.50,37.5,,122,,
4,128,Cedric Cobbs,RB,23,185.0,225,Arkansas,589,3018,5.1,26,26,138,5.3,1,,,,,,,,4.75,40.0,,123,,
4,132,Adrian Jones,T,23,193.0,296,Kansas,,,,,23,219,9.5,2,,,,,,,,4.97,31.0,27,114,7.81,4.58
5,134,Johnnie Morant,WR,22,193.0,229,Syracuse,6,34,5.7,1,88,1535,17.4,7,,,,,,,,4.51,41.0,,130,7.34,4.22
5,144,Sean Ryan,TE,24,196.0,254,Boston Col.,,,,,75,950,12.7,12,,,,,,,,4.97,32.5,22,115,,
5,148,Craig Krenzel,QB,23,193.0,225,Ohio St.,,,,,,,,,328,577,56.8,4489,7.8,28,21,4.84,28.0,,112,7.22,4.08
5,149,Maurice Mann,WR,21,185.0,190,Nevada,4,8,2.0,0,53,827,15.6,5,,,,,,,,4.57,34.0,,118,,
5,151,Mark Wilson,TE,23,198.0,295,California,2,4,2.0,1,,,,,,,,,,,,5.36,28.5,24,108,7.53,4.49
5,154,Michael Turner,RB,22,178.0,237,Northern Illinois,940,4941,5.3,43,43,451,10.5,3,,,,,,,,4.49,31.0,22,114,7.50,4.15
5,156,Mike Karney,FB,23,180.0,254,Arizona St.,32,78,2.4,0,37,308,8.3,1,,,,,,,,5.02,30.0,25,103,,
5,157,D.J. Hackett,WR,23,188.0,199,Colorado,1,-9,-9.0,0,96,1224,12.8,11,,,,,,,,4.53,41.0,,131,6.79,4.08
5,162,Thomas Tapeh,FB,24,185.0,243,Minnesota,410,1958,4.8,24,19,219,11.5,3,,,,,,,,4.80,32.5,23,114,7.65,4.52
5,163,Drew Carter,WR,23,190.0,200,Ohio St.,2,13,6.5,0,41,632,15.4,1,,,,,,,,4.36,,,,,
5,164,P.K. Sam,WR,20,190.0,210,Florida St.,3,7,2.3,0,76,1066,14.0,7,,,,,,,,4.54,34.5,,,7.04,
6,168,Jamaar Taylor,WR,23,183.0,197,Texas A&M,5,28,5.6,0,108,1705,15.8,10,,,,,,,,4.46,,,,,
6,171,Triandos Luke,WR,22,178.0,190,Alabama,2,4,2.0,0,90,1072,11.9,9,,,,,,,,4.51,38.0,,124,7.06,4.17
6,191,Troy Fleming,RB,23,188.0,230,Tennessee,84,342,4.1,1,73,492,6.7,5,,,,,,,,4.62,32.0,,120,6.94,3.91
7,202,John Navarre,QB,23,198.0,250,Michigan,,,,,,,,,744,1327,56.1,9014,6.8,70,30,5.19,26.5,,100,7.73,4.46
7,208,Adimchinobe Echemandu,RB,23,178.0,225,California,238,1195,5.0,13,22,185,8.4,0,,,,,,,,4.58,,15,,,
7,211,Sloan Thomas,WR,22,188.0,200,Texas,2,21,10.5,0,88,1362,15.5,12,,,,,,,,4.50,,,,,
7,214,Jonathan Smith,WR,22,178.0,194,Georgia Tech,37,194,5.2,1,174,2238,12.9,12,,,,,,,,4.78,32.5,,114,,4.35
7,217,Cody Pickett,QB,24,190.0,220,Washington,,,,,,,,,792,1373,57.7,9916,7.2,53,42,4.79,30.5,,109,7.19,4.30
7,219,Quincy Wilson,RB,23,175.0,225,West Virginia,474,2608,5.5,20,25,147,5.9,1,,,,,,,,4.60,33.5,26,118,7.68,4.36
7,220,Jeff Dugan,TE,23,193.0,261,Maryland,,,,,55,649,11.8,3,,,,,,,,5.00,28.0,21,109,7.40,4.32
7,225,Matt Mauck,QB,25,185.0,213,LSU,,,,,,,,,310,529,58.6,3831,7.2,37,18,4.79,,,,,
7,232,Michael Gaines,TE,24,190.0,280,Central Florida,2,4,2.0,0,22,306,13.9,3,,,,,,,,5.06,33.0,18,109,7.44,4.18
7,236,Rashad Washington,DB,24,190.0,217,Kansas St.,14,106,7.6,1,,,,,,,,,,,,4.61,34.0,14,116,7.06,4.02
7,241,Sean McHugh,FB,22,196.0,265,Penn St.,82,322,3.9,6,44,297,6.8,1,,,,,,,,4.92,29.0,18,115,7.36,4.09
7,245,Courtney Anderson,TE,23,201.0,270,San Jose St.,,,,,36,477,13.3,7,,,,,,,,4.89,30.0,17,106,7.86,4.45
7,250,Bradlee Van Pelt,QB,24,188.0,220,Colorado St.,,,,,,,,,424,778,54.5,6165,7.9,37,30,4.98,33.5,,115,6.89,4.11
1,1,Alex Smith,QB,21,193.0,213,Utah,,,,,,,,,389,587,66.3,5203,8.9,47,8,4.71,32.0,,113,6.82,3.96
1,2,Ronnie Brown,RB,23,183.0,233,Auburn,513,2707,5.3,28,58,668,11.5,2,,,,,,,,4.43,34.0,18,117,7.10,4.08
1,3,Braylon Edwards,WR,22,190.0,211,Michigan,10,72,7.2,0,252,3541,14.1,39,,,,,,,,4.45,,,,,
1,4,Cedric Benson,RB,22,180.0,222,Texas,1112,5540,5.0,64,69,621,9.0,3,,,,,,,,4.62,,,,,
1,5,Cadillac Williams,RB,23,180.0,217,Auburn,741,3831,5.2,45,45,342,7.6,1,,,,,,,,4.43,35.5,19,118,6.94,4.15
1,7,Troy Williamson,WR,22,185.0,203,South Carolina,12,101,8.4,0,91,1754,19.3,13,,,,,,,,4.32,,,,6.99,
1,10,Mike Williams,WR,21,196.0,229,USC,5,35,7.0,0,176,2579,14.7,30,,,,,,,,4.56,36.5,,,,
1,22,Mark Clayton,WR,23,178.0,193,Oklahoma,14,82,5.9,0,220,3236,14.7,31,,,,,,,,4.41,36.5,,118,6.95,4.07
1,24,Aaron Rodgers,QB,21,188.0,225,California,,,,,,,,,424,665,63.8,5469,8.2,43,13,4.71,34.5,,110,7.38,
1,25,Jason Campbell,QB,23,196.0,223,Auburn,,,,,,,,,552,854,64.6,7299,8.5,45,24,4.71,,,,,
1,27,Roddy White,WR,23,185.0,201,Ala-Birmingham,1,17,17.0,0,163,3112,19.1,26,,,,,,,,4.46,,,,,
1,30,Heath Miller,TE,22,196.0,256,Virginia,1,6,6.0,0,144,1703,11.8,20,,,,,,,,4.79,,,,,
2,35,Reggie Brown,WR,24,185.0,197,Georgia,11,87,7.9,0,144,2008,13.9,12,,,,,,,,4.45,41.5,,128,6.99,3.94
2,39,Mark Bradley,WR,23,185.0,201,Oklahoma,4,73,18.3,1,34,685,20.1,9,,,,,,,,4.37,39.5,,128,6.96,3.98
2,44,J.J. Arrington,RB,22,175.0,214,California,396,2625,6.6,20,42,299,7.1,3,,,,,,,,4.40,35.0,18,121,6.81,4.10
2,52,Khalif Barnes,T,23,198.0,305,Washington,,,,,1,9,9.0,0,,,,,,,,4.92,35.0,26,106,7.57,4.54
2,54,Eric Shelton,RB,22,185.0,246,Louisville,341,1858,5.4,30,7,54,7.7,0,,,,,,,,4.53,38.5,,124,7.44,4.08
2,55,Roscoe Parrish,WR,23,178.0,168,Miami (FL),19,186,9.8,1,86,1355,15.8,12,,,,,,,,4.37,,,,,
2,58,Terrence Murphy,WR,22,185.0,202,Texas A&M,17,209,12.3,1,172,2600,15.1,10,,,,,,,,4.39,,,,,
2,60,Kelvin Hayden,DB,22,178.0,198,Illinois,6,54,9.0,0,54,610,11.3,3,,,,,,,,4.45,34.0,17,111,6.87,3.90
3,65,Frank Gore,RB,22,175.0,212,Miami (FL),348,1975,5.7,17,23,225,9.8,0,,,,,,,,4.58,,,,,
3,67,Charlie Frye,QB,24,193.0,217,Akron,,,,,,,,,913,1436,63.6,11049,7.7,64,32,4.79,33.0,,113,6.94,4.08
3,68,Courtney Roby,WR,22,183.0,189,Indiana,31,207,6.7,2,170,2524,14.8,12,,,,,,,,4.41,36.5,,126,6.60,3.94
3,69,Andrew Walter,QB,23,198.0,230,Arizona St.,,,,,,,,,777,1416,54.9,10617,7.5,85,36,4.86,,,,,
3,71,Alex Smith,TE,23,193.0,258,Stanford,,,,,107,1291,12.1,8,,,,,,,,4.88,,28,,,
3,73,Vernand Morency,RB,25,175.0,212,Oklahoma St.,451,2661,5.9,23,11,119,10.8,1,,,,,,,,4.66,33.5,19,108,7.02,4.12
3,77,Ryan Moats,RB,22,173.0,210,Louisiana Tech,499,3112,6.2,28,48,441,9.2,2,,,,,,,,4.46,36.0,19,117,7.22,4.10
3,83,Chris Henry,WR,22,193.0,197,West Virginia,1,2,2.0,0,93,1878,20.2,22,,,,,,,,4.50,,,,,
3,86,Kevin Everett,TE,23,196.0,241,Miami (FL),1,-3,-3.0,0,32,400,12.5,3,,,,,,,,4.72,,,,,
3,93,Trai Essex,T,22,193.0,324,Northwestern,1,-3,-3.0,0,3,23,7.7,1,,,,,,,,5.61,29.0,,96,8.11,4.92
3,96,Brandon Jones,WR,22,185.0,208,Oklahoma,1,0,0.0,0,82,1187,14.5,14,,,,,,,,4.42,37.0,,114,7.03,4.08
3,100,Nick Kaczur,T,26,193.0,319,Toledo,2,49,24.5,0,,,,,,,,,,,,5.28,31.5,,,,
4,106,Kyle Orton,QB,22,193.0,226,Purdue,,,,,,,,,786,1336,58.8,9337,7.0,63,28,5.06,26.5,,,7.38,4.52
4,109,Marion Barber,RB,22,180.0,221,Minnesota,575,3276,5.7,35,21,190,9.0,0,,,,,,,,4.49,40.0,20,127,,
4,111,Elton Brown,G,23,196.0,329,Virginia,,,,,1,-3,-3.0,0,,,,,,,,4.93,,,,,
4,112,Ciatrick Fason,RB,22,185.0,207,Florida,315,1877,6.0,14,46,408,8.9,5,,,,,,,,4.58,,,,,
4,116,Craphonso Thorpe,WR,22,183.0,187,Florida St.,6,13,2.2,0,123,2153,17.5,18,,,,,,,,4.38,,,,,
4,127,Alvin Pearman,RB,23,175.0,208,Virginia,500,2394,4.8,19,138,1396,10.1,8,,,,,,,,4.63,34.0,24,114,7.06,4.08
4,130,Darren Sproles,RB,22,168.0,190,Kansas St.,815,4979,6.1,45,66,609,9.2,2,,,,,,,,4.47,33.0,23,105,6.96,3.96
5,140,Airese Currie,WR,22,178.0,186,Clemson,14,26,1.9,0,137,2025,14.8,10,,,,,,,,4.49,38.0,,125,7.05,4.07
5,144,Jerome Collins,TE,23,193.0,267,Notre Dame,,,,,6,67,11.2,0,,,,,,,,4.71,,21,118,,
5,145,Dan Orlovsky,QB,22,196.0,230,Connecticut,,,,,,,,,916,1567,58.5,10706,6.8,84,51,4.93,29.5,,107,7.33,4.39
5,174,Rasheed Marshall,WR,24,183.0,185,West Virginia,,,,,,,,,391,724,54.0,5098,7.0,42,23,4.51,38.0,,121,6.81,3.95
